Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Fernando el Católico - Cuenca;24;T;0;18;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3840274173384119, 39.469077319212495], ""type"": ""Point""}";39.469077319212495, -0.3840274173384119;2026-02-25T21:26:37+01:00
Barcas, 11;40;T;1;23;26;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3748243837183276, 39.470466319701956], ""type"": ""Point""}";39.470466319701956, -0.3748243837183276;2026-02-25T21:23:38+01:00
General Urrutia - Av. de la Plata;44;T;16;3;19;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36301435452576164, 39.45642926768604], ""type"": ""Point""}";39.45642926768604, -0.36301435452576164;2026-02-25T21:20:50+01:00
Alameda - Pintor Maella;53;T;21;2;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.34813930400480075, 39.45676426141678], ""type"": ""Point""}";39.45676426141678, -0.34813930400480075;2026-02-25T21:27:58+01:00
Hermanos Maristas - General Urrutia;45;T;1;14;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36185535292343096, 39.45381925759081], ""type"": ""Point""}";39.45381925759081, -0.36185535292343096;2026-02-25T21:20:32+01:00
Blasco Ibañez - Clariano;94;T;11;9;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.35158330144926053, 39.47537832465668], ""type"": ""Point""}";39.47537832465668, -0.35158330144926053;2026-02-25T21:26:22+01:00
Justo y Pastor - Duque de Gaeta;98;T;15;0;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.348442294427372, 39.469680303996114], ""type"": ""Point""}";39.469680303996114, -0.348442294427372;2026-02-25T21:23:00+01:00
Molinell - Calderón de la Barca;77;T;2;18;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36566734195835493, 39.48497336307338], ""type"": ""Point""}";39.48497336307338, -0.36566734195835493;2026-02-25T21:22:52+01:00
Blasco Ibañez 121;97;T;23;0;23;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3431322739648798, 39.47306831276613], ""type"": ""Point""}";39.47306831276613, -0.3431322739648798;2026-02-25T21:26:31+01:00
Convento Carmelitas - Alboraya;130;T;0;13;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.370210358642677, 39.483238360081586], ""type"": ""Point""}";39.483238360081586, -0.370210358642677;2026-02-25T21:20:38+01:00
Gregorio Gea - Profesor Beltrán Báguena;142;T;0;25;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38965942617943544, 39.48192036501599], ""type"": ""Point""}";39.48192036501599, -0.38965942617943544;2026-02-25T21:25:12+01:00
Constitución - Reus;135;T;12;8;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37850138478156414, 39.48570237196362], ""type"": ""Point""}";39.48570237196362, -0.37850138478156414;2026-02-25T21:28:18+01:00
San Pancracio - Periodista Llorente;138;T;4;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38422240207482833, 39.48819038284581], ""type"": ""Point""}";39.48819038284581, -0.38422240207482833;2026-02-25T21:28:12+01:00
Esparraguera - Cra. Malilla;191;T;9;6;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37886641388495107, 39.45032925434954], ""type"": ""Point""}";39.45032925434954, -0.37886641388495107;2026-02-25T21:25:17+01:00
Uruguay - Carteros;193;T;1;18;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.386718436578698, 39.45514627443484], ""type"": ""Point""}";39.45514627443484, -0.386718436578698;2026-02-25T21:24:39+01:00
Marqués de San Juan - Diputat Lluís Lucía;144;T;13;2;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39548044804080085, 39.4787793569025], ""type"": ""Point""}";39.4787793569025, -0.39548044804080085;2026-02-25T21:26:52+01:00
Don Vicente Guillot - Progreso;166;T;10;5;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.32881122495787873, 39.47334930757559], ""type"": ""Point""}";39.47334930757559, -0.32881122495787873;2026-02-25T21:28:19+01:00
Gran Canaria - Ingeniero Manuel Maese;171;T;12;3;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.32900821806202085, 39.483060339803416], ""type"": ""Point""}";39.483060339803416, -0.32900821806202085;2026-02-25T21:24:12+01:00
Pío XII - Monestir de Poblet;173;T;3;17;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.394678441209281, 39.484541375368174], ""type"": ""Point""}";39.484541375368174, -0.394678441209281;2026-02-25T21:25:46+01:00
Armada Española - Mariano Cuber;162;T;3;16;19;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3297952360224295, 39.46360427573933], ""type"": ""Point""}";39.46360427573933, -0.3297952360224295;2026-02-25T21:27:31+01:00
Reus - Alquería de la Estrella;139;T;12;3;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38287339995719183, 39.485706374097916], ""type"": ""Point""}";39.485706374097916, -0.38287339995719183;2026-02-25T21:22:15+01:00
Pie de la Cruz - Rejas;147;T;0;14;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3802074001545322, 39.47320133107913], ""type"": ""Point""}";39.47320133107913, -0.3802074001545322;2026-02-25T21:21:18+01:00
