Carrer / Calle;Tipus Carrer / Tipo Calle;Núm. Finca;OBJECTID;geo_shape;geo_point_2d
SETMANA SANTA MARINERA;PL;S/N;68838;"{""coordinates"": [-0.3291959057524063, 39.46321375894623], ""type"": ""Point""}";39.46321375894623, -0.3291959057524063
JORGE JUAN;C;21;68839;"{""coordinates"": [-0.3686445631642671, 39.468382214843096], ""type"": ""Point""}";39.468382214843096, -0.3686445631642671
YECLA;C;1;68843;"{""coordinates"": [-0.3538067353034194, 39.471767152542824], ""type"": ""Point""}";39.471767152542824, -0.3538067353034194
CIUDAD DE BRUJAS;PL;5;68857;"{""coordinates"": [-0.37991143983524983, 39.47375685178198], ""type"": ""Point""}";39.47375685178198, -0.37991143983524983
EDUARDO BOSCA;C;29;68861;"{""coordinates"": [-0.35763879018528155, 39.464510703414085], ""type"": ""Point""}";39.464510703414085, -0.35763879018528155
RINCON DE ADEMUZ;C;17;68862;"{""coordinates"": [-0.40279581628790273, 39.471781805027796], ""type"": ""Point""}";39.471781805027796, -0.40279581628790273
AYUNTAMIENTO;PL;17;68865;"{""coordinates"": [-0.37653792725696067, 39.47095141952952], ""type"": ""Point""}";39.47095141952952, -0.37653792725696067
COLON;C;31;68873;"{""coordinates"": [-0.3716432853493049, 39.469437556074475], ""type"": ""Point""}";39.469437556074475, -0.3716432853493049
PIO XII;AV;2;68874;"{""coordinates"": [-0.39108760252345626, 39.479447932915456], ""type"": ""Point""}";39.479447932915456, -0.39108760252345626
MIGUEL ANGEL BLANCO (VICTIMA DEL TERRORISME D´ETA);C;S/N;68877;"{""coordinates"": [-0.40159397839890526, 39.49523543553963], ""type"": ""Point""}";39.49523543553963, -0.40159397839890526
ARCHIDUQUE CARLOS;C;90ac;68879;"{""coordinates"": [-0.40219641801080525, 39.458633619001716], ""type"": ""Point""}";39.458633619001716, -0.40219641801080525
VALLE DE LA BALLESTERA;C;1ac;68881;"{""coordinates"": [-0.39354160493468154, 39.48095527578598], ""type"": ""Point""}";39.48095527578598, -0.39354160493468154
PERIS Y VALERO;AV;S/N;68884;"{""coordinates"": [-0.36193466831583876, 39.46263689767736], ""type"": ""Point""}";39.46263689767736, -0.36193466831583876
JUAN LLORENS;C;62;68887;"{""coordinates"": [-0.3888747076744024, 39.46982456855419], ""type"": ""Point""}";39.46982456855419, -0.3888747076744024
MAESTRO GUERRERO;C;6;68899;"{""coordinates"": [-0.392181043523173, 39.47377684480893], ""type"": ""Point""}";39.47377684480893, -0.392181043523173
OEST;AV;19;68902;"{""coordinates"": [-0.3796694733724303, 39.47268209674478], ""type"": ""Point""}";39.47268209674478, -0.3796694733724303
ADUANA;PL;1;68905;"{""coordinates"": [-0.3257787461038222, 39.462842590260664], ""type"": ""Point""}";39.462842590260664, -0.3257787461038222
MALILLA;CTRA;S/N;68908;"{""coordinates"": [-0.3791297806867659, 39.45107113881047], ""type"": ""Point""}";39.45107113881047, -0.3791297806867659
BLASCO IBAÑEZ;AV;31ac;68916;"{""coordinates"": [-0.3568517981127198, 39.47701203248575], ""type"": ""Point""}";39.47701203248575, -0.3568517981127198
JUAN DE GARAY;C;38;68922;"{""coordinates"": [-0.39381048493640564, 39.45423264601471], ""type"": ""Point""}";39.45423264601471, -0.39381048493640564
TRES CRUCES;AV;S/N;68924;"{""coordinates"": [-0.40636840511441275, 39.46933029025292], ""type"": ""Point""}";39.46933029025292, -0.40636840511441275
FRAY JUNIPERO SERRA;C;82;68926;"{""coordinates"": [-0.40068459406585843, 39.463435195678116], ""type"": ""Point""}";39.463435195678116, -0.40068459406585843
INDUSTRIA;C;51;68928;"{""coordinates"": [-0.34199324407700993, 39.46760936886299], ""type"": ""Point""}";39.46760936886299, -0.34199324407700993
LUIS OLIAG;C;56ac;68929;"{""coordinates"": [-0.3618440690319778, 39.46133454877257], ""type"": ""Point""}";39.46133454877257, -0.3618440690319778
FUENTE DE SAN LUIS;CRA;34ac;68930;"{""coordinates"": [-0.37166709573754225, 39.45635611019901], ""type"": ""Point""}";39.45635611019901, -0.37166709573754225
NARANJOS;AV;S/N;68931;"{""coordinates"": [-0.34499052793162466, 39.4795060843023], ""type"": ""Point""}";39.4795060843023, -0.34499052793162466
VICENTE BELTRAN GRIMAL (ESCULTOR);C;3;68932;"{""coordinates"": [-0.34757355021112957, 39.463753365363594], ""type"": ""Point""}";39.463753365363594, -0.34757355021112957
OEST;AV;51ac;68933;"{""coordinates"": [-0.3795186208569017, 39.469172875290305], ""type"": ""Point""}";39.469172875290305, -0.3795186208569017
DOCTOR GOMEZ FERRER;C;2ac;68934;"{""coordinates"": [-0.3614598355736155, 39.47879769067145], ""type"": ""Point""}";39.47879769067145, -0.3614598355736155
DOCTOR GOMEZ FERRER;C;4;68938;"{""coordinates"": [-0.3613459910967004, 39.47903172987797], ""type"": ""Point""}";39.47903172987797, -0.3613459910967004
BLASCO IBAÑEZ;AV;17;68951;"{""coordinates"": [-0.36239929600162435, 39.4786657432904], ""type"": ""Point""}";39.4786657432904, -0.36239929600162435
LUIS GARCIA-BERLANGA MARTI (DIRECTOR CINEMA);C;15ac;68953;"{""coordinates"": [-0.3471755067901397, 39.45687094985745], ""type"": ""Point""}";39.45687094985745, -0.3471755067901397
CORTS VALENCIANES;AV;59;68804;"{""coordinates"": [-0.40355690694920976, 39.495491049459744], ""type"": ""Point""}";39.495491049459744, -0.40355690694920976
MEDITERRANEO;C;30;68806;"{""coordinates"": [-0.32910069421296073, 39.46763201375305], ""type"": ""Point""}";39.46763201375305, -0.32910069421296073
EUGENIA VIÑES;C;22;68808;"{""coordinates"": [-0.3247952772393484, 39.46639424158843], ""type"": ""Point""}";39.46639424158843, -0.3247952772393484
PIO BAROJA (ESCRIPTOR);AV;S/N;68811;"{""coordinates"": [-0.40663101226620535, 39.47799166819342], ""type"": ""Point""}";39.47799166819342, -0.40663101226620535
RAMON Y CAJAL;G.V.;12;68817;"{""coordinates"": [-0.38120968757168955, 39.46539779201783], ""type"": ""Point""}";39.46539779201783, -0.38120968757168955
MICER MASCO;C;42;68820;"{""coordinates"": [-0.3605424867924096, 39.47480210838303], ""type"": ""Point""}";39.47480210838303, -0.3605424867924096
SAGUNTO;C;142;68821;"{""coordinates"": [-0.3752530285435467, 39.48809578822851], ""type"": ""Point""}";39.48809578822851, -0.3752530285435467
MENENDEZ PIDAL;AV;14;68828;"{""coordinates"": [-0.38786268606081065, 39.48015463878395], ""type"": ""Point""}";39.48015463878395, -0.38786268606081065
TAMARINDOS;AV;12ac;68830;"{""coordinates"": [-0.4021951171461597, 39.47786796722491], ""type"": ""Point""}";39.47786796722491, -0.4021951171461597
MARQUES DEL TURIA;G.V.;18;68834;"{""coordinates"": [-0.37121905230720853, 39.46578011981007], ""type"": ""Point""}";39.46578011981007, -0.37121905230720853
CALLOSA D´EN SARRIA;C;14;68836;"{""coordinates"": [-0.38673141223866453, 39.46039952764121], ""type"": ""Point""}";39.46039952764121, -0.38673141223866453
CIRILO AMOROS;C;60ac;68840;"{""coordinates"": [-0.3686138434707708, 39.46844419340479], ""type"": ""Point""}";39.46844419340479, -0.3686138434707708
BLASCO IBAÑEZ;AV;127;68841;"{""coordinates"": [-0.34280769079786166, 39.472888014323374], ""type"": ""Point""}";39.472888014323374, -0.34280769079786166
AYUNTAMIENTO;PL;24;68846;"{""coordinates"": [-0.37573347745443425, 39.4695367216107], ""type"": ""Point""}";39.4695367216107, -0.37573347745443425
MARATO;PL;S/N;68848;"{""coordinates"": [-0.3558018798471213, 39.45619066448455], ""type"": ""Point""}";39.45619066448455, -0.3558018798471213
CANOVAS DEL CASTILLO;PL;9;68849;"{""coordinates"": [-0.3653849921256109, 39.46807207213753], ""type"": ""Point""}";39.46807207213753, -0.3653849921256109
OEST;AV;31;68850;"{""coordinates"": [-0.37961622198492256, 39.471464635993286], ""type"": ""Point""}";39.471464635993286, -0.37961622198492256
CONDE DE TRENOR;C;8ac;68852;"{""coordinates"": [-0.37492908870283276, 39.47888844401849], ""type"": ""Point""}";39.47888844401849, -0.37492908870283276
TAVERNES DE VALLDIGNA;PL;5;68859;"{""coordinates"": [-0.3805063096533563, 39.47743490571098], ""type"": ""Point""}";39.47743490571098, -0.3805063096533563
EDUARDO PRIMO YUFERA (CIENTIFIC);C;1B;68864;"{""coordinates"": [-0.34810111659698967, 39.45237296536485], ""type"": ""Point""}";39.45237296536485, -0.34810111659698967
BURJASOT;AV;192;68867;"{""coordinates"": [-0.39361392789671956, 39.49263851985758], ""type"": ""Point""}";39.49263851985758, -0.39361392789671956
PUERTO;AV;310;68869;"{""coordinates"": [-0.33513578502177643, 39.46062048340899], ""type"": ""Point""}";39.46062048340899, -0.33513578502177643
AUSIAS MARCH;AV;59;68870;"{""coordinates"": [-0.3710218429241228, 39.45066058732561], ""type"": ""Point""}";39.45066058732561, -0.3710218429241228
LUIS CANO;PL;6;68872;"{""coordinates"": [-0.4186700323446933, 39.501374216002105], ""type"": ""Point""}";39.501374216002105, -0.4186700323446933
MIGUEL ANGEL BLANCO (VICTIMA DEL TERRORISME D´ETA);C;S/N;68876;"{""coordinates"": [-0.40160776587773817, 39.49525704968078], ""type"": ""Point""}";39.49525704968078, -0.40160776587773817
JOSE BALLESTER GOZALVO;C;S/N;68878;"{""coordinates"": [-0.32531133841914694, 39.482970931436824], ""type"": ""Point""}";39.482970931436824, -0.32531133841914694
VICENTE PUCHOL;C;3;68882;"{""coordinates"": [-0.3636478129899723, 39.42895299731572], ""type"": ""Point""}";39.42895299731572, -0.3636478129899723
MANUEL SANCHIS GUARNER;PL;1;68886;"{""coordinates"": [-0.3756012768234202, 39.45739849814256], ""type"": ""Point""}";39.45739849814256, -0.3756012768234202
DOCTOR MARCOS SOPENA;C;S/N;68888;"{""coordinates"": [-0.32443977260521484, 39.4631402114717], ""type"": ""Point""}";39.4631402114717, -0.32443977260521484
SAN LAZARO;C;1ac;68889;"{""coordinates"": [-0.393156070539021, 39.45317834951309], ""type"": ""Point""}";39.45317834951309, -0.393156070539021
