"identificador";"nombre_servicio";"tipo_servicio";"distrito_asignado";"latitud";"longitud"
"PA163";"Bioparc (1661)";"Parada EMT";"L'OLIVERETA";39,4764627054837;-0,406590957798796
"PA164";"Antiga Facultat Magisteri (1664)";"Parada EMT";"L'EIXAMPLE";39,4616572829987;-0,360423851561653
"PA165";"Pinars - Carretera del Palmar (2169)";"Parada EMT";"POBLATS DEL SUD";39,3413978570438;-0,319720338284822
"PA166";"Estació del Nord - Bailén (2309)";"Parada EMT";"L'EIXAMPLE";39,4672454737931;-0,377712024921001
"PA167";"Democràcia - Baladre (2304)";"Parada EMT";"L'OLIVERETA";39,4739891652806;-0,3973987187131
"PA168";"Plaça de l'Ajuntament - Flors (2221)";"Parada EMT";"CIUTAT VELLA";39,4698918692246;-0,375985744172136
"PA169";"Plaça de l'Ajuntament (2219)";"Parada EMT";"CIUTAT VELLA";39,4701986778652;-0,37585510660609
"PA170";"Bioparc (2096)";"Parada EMT";"L'OLIVERETA";39,4757872046199;-0,405887009504041
"PA171";"Gavines - Botavara (2194)";"Parada EMT";"POBLATS DEL SUD";39,3052847021956;-0,294551923575816
"PA172";"Sant Vicent Màrtir - Ànimes (2210)";"Parada EMT";"EXTRAMURS";39,469287518868;-0,378918903744381
"PA173";"Gola de Puchol (II) (2167)";"Parada EMT";"POBLATS DEL SUD";39,3546441434195;-0,322313697172408
"PA174";"Pinars (parell) - El Saler (2165)";"Parada EMT";"POBLATS DEL SUD";39,3832087894397;-0,332545427728931
"PA175";"Colón - Pascual i Genís (2260)";"Parada EMT";"L'EIXAMPLE";39,4681949329438;-0,373574471529692
"PA176";"Marqués de Sotelo (2279)";"Parada EMT";"CIUTAT VELLA";39,4688888185668;-0,376792913402014
"PA177";"Amado Granell Mesado (parell) - Lluís Oliag (2291)";"Parada EMT";"L'EIXAMPLE";39,4597278929236;-0,365698780822944
"PA178";"Amado Granell Mesado (imparell) - Lluís Oliag (2300)";"Parada EMT";"L'EIXAMPLE";39,4597982892934;-0,365188583931265
"PA179";"Espinosa - Ferran el Catòlic (1298)";"Parada EMT";"EXTRAMURS";39,4721221939705;-0,384395971706452
"PA180";"Blasco Ibáñez (parell) - José María Haro (1134)";"Parada EMT";"ALGIROS";39,470659098661;-0,338255240046858
"PA181";"Centre de Salut Fonteta (1143)";"Parada EMT";"QUATRE CARRERES";39,442507726023;-0,368161746380965
"PA182";"Centre de Salut Salvador Allende (1151)";"Parada EMT";"RASCANYA";39,4947189559045;-0,372730301294351
"PA183";"Port - Trafalgar (2027)";"Parada EMT";"CAMINS AL GRAU";39,4633063625807;-0,344191962058924
"PA184";"Joaquím Ballester (imparell) - Pare Ferris (1812)";"Parada EMT";"LA SAIDIA";39,4848138254175;-0,385471607017336
"PA185";"Equador - General Llorens (1849)";"Parada EMT";"BENICALAP";39,4932851002091;-0,388186166439549
"PA186";"Tres Creus - Bolívia (1938)";"Parada EMT";"PATRAIX";39,4563331669671;-0,401072674112538
"PA187";"Pere II El Cerimonios - Vicente Beltrán Grimalt (1951)";"Parada EMT";"CAMINS AL GRAU";39,4625588990927;-0,347192148340816
"PA188";"Pintor Maella - Menorca (1955)";"Parada EMT";"CAMINS AL GRAU";39,4569674553845;-0,347464578216335
"PA189";"Valladolid - Dolores Marqués (1842)";"Parada EMT";"BENIMACLET";39,4897155784651;-0,362428868146571
"PA190";"Parc de Natzaret (2122)";"Parada EMT";"POBLATS MARITIMS";39,4445896694765;-0,333287212801627
"PA191";"Actor Antonio Ferrandis (imparell) - Font de St. Lluís (2239)";"Parada EMT";"QUATRE CARRERES";39,4464215936196;-0,36758831910314
"PA192";"Av. de l'Oest (imparell) - Sant Agustí (2282)";"Parada EMT";"EXTRAMURS";39,4694913642729;-0,379557808426918
"PA193";"MuVIM (2318)";"Parada EMT";"EXTRAMURS";39,470068730101;-0,380306651550234
"PA194";"Félix del Río - Camí de Montcada (2301)";"Parada EMT";"LA SAIDIA";39,4919877616345;-0,379474779993296
